"RT";"div";"leg";"DW";"long";"NbSEG";"NbNODES";"DW_BN0";"DW_BN";"nb_BN";"nb_TA";"nb_pl";"gal";"connec";"biomFin";"biomIni";"biomMoy";"biomDelta"
1;"Div0";"Leg-";7378.7;56.1607563;9873;5387;914;6875.5;3;0;16;0;0;0;0;0;0
2;"Div1";"Leg-";4352.2;31.34151261;4988;2589;2255;3633.6;3;0;12;20.82882353;0.334867264;2.244;7.1255;4.68475;0.685074732
3;"Div2";"Leg-";6981.3;39.71310924;5664;2776;3719.1;6252.8;3;0;10;27.47714286;0.268730312;4.6434;7.655;6.1492;0.393416068
4;"Div3";"Leg-";6846.6;38.06537815;5673;2692;4384.4;5086.8;3;0;17;26.25647059;0.278857396;4.8363;6.2526;5.54445;0.22651377
5;"Div0";"Leg-";5836.7;47.77529412;7705;3846;4461.4;4804.6;2;0;14;0;0;0;0;0;0
6;"Div1";"Leg-";6688.9;37.79193277;5911;2973;3434.9;6331.8;3;0;13;24.95831933;0.22043937;1.4013;7.5459;4.4736;0.814296505
7;"Div2";"Leg-";7377.5;42.26;7093;3620;4442;6368.3;3;0;15;27.36798319;0.199603215;4.6576;7.3588;6.0082;0.367070718
8;"Div3";"Leg-";6768.1;49.86403361;8679;4620;3371.7;5057.5;3;0;14;8.689411765;1.765978368;1.6547;6.8973;4.276;0.76009453
9;"Div0";"Leg-";5666.7;54.5189916;9028;4869;2284.1;4080.6;2;0;11;0;0;0;0;0;0
10;"Div1";"Leg-";8983.90495;62.97689076;10971;5955;4643.80495;8203.50495;3;0;14;21.31176471;0.297857804;2.242;7.4952;4.8686;0.700875227
11;"Div0";"Leg+";7751.3;61.73495798;10667;5768;5121.8;6296.8;3;0;16;0;0;0;0;0;0
12;"Div1";"Leg+";7828.1;55.81815126;9960;5390;5999.5;6769.3;3;6;15;13.68983193;0.511005758;1.2468;6.2809;3.76385;0.801493417
13;"Div2";"Leg+";8195.3;42.67680672;6905;3468;3242;7310.9;3;6;14;32.66428571;0.173099879;4.4936;7.263;5.8783;0.381302492
14;"Div3";"Leg+";6949.939503;48.13352941;7734;4021;3953.6;6018.339503;3;7;12;28.88218487;0.197276743;3.0546;6.7889;4.92175;0.550059656
15;"Div0";"Leg+";6397.2;54.28453782;8914;4782;4012.1;5347.3;3;4;14;0;0;0;0;0;0
16;"Div1";"Leg+";7533.4;46.18403361;6948;3453;3955.3;6924.5;2;6;13;24.12815126;0.28127356;3.895;6.724;5.3095;0.420731707
17;"Div2";"Leg+";5844.8;32.36865546;4764;2436;215.5;4240.8;2;5;13;21.01369748;0.261476775;1.2297;7.1702;4.19995;0.828498508
18;"Div3";"Leg+";5683.528746;44.88134454;8135;4448;2811.1;5009.505184;3;6;15;9.030168067;1.061118422;0.6485;7.1813;3.9149;0.909696016
19;"Div0";"Leg+";6682.9;49.03201681;8002;4199;2166.5;6190.8;3;7;16;0;0;0;0;0;0
20;"Div1";"Leg+";7952.1;41.87546218;6106;2989;2527.3;6725.4;3;6;17;24.28579832;0.246721205;3.2683;6.4961;4.8822;0.496882745
21;"Div2";"Leg-";8922.799626;46.46764706;8495;4582;2717.4;7068.139626;3;7;15;16.15596639;0.513828623;6.5033;8.61;7.55665;0.244680604
22;"Div3";"Leg-";6179.57;30.55638655;4583;2194;446.09;4513.79;3;0;16;23.42352941;0.28243713;1.7595;8.45;5.10475;0.791775148
23;"Div0";"Leg-";5072.263541;38.15495798;6802;3693;1588.793541;2838.853541;3;0;17;0;0;0;0;0;0
24;"Div1";"Leg-";6060.248491;43.39731092;8410;4642;3964.128491;5127.538491;3;0;16;24.5592437;0.212413291;2.0771;8.67;5.37355;0.760426759
25;"Div2";"Leg-";6445.93;29.8312605;4571;2238;1777.2;4931.7;3;0;17;34.70176471;0.145327515;4.3167;8.83;6.57335;0.511132503
26;"Div3";"Leg-";4998.78;28.4210084;4420;2237;2026.46;3798.87;3;0;16;20.05411765;0.376103584;4.6236;8.28;6.4518;0.441594203
27;"Div0";"Leg-";7614.96;46.06806723;6686;3352;2120.48;6264.69;3;0;17;0;0;0;0;0;0
28;"Div1";"Leg-";6269.14;31.66504202;5059;2647;778.25;3682.42;3;0;17;34.1692437;0.142251289;3.0677;8.2;5.63385;0.625890244
29;"Div2";"Leg-";6589.71;29.28781513;4768;2388;1917.42;5302.71;3;0;17;43.78773109;0.106419616;3.0701;8.98;6.02505;0.65811804
30;"Div3";"Leg-";7227.36;43.72663866;7090;3702;1207.47;5896.35;3;0;17;18.35764706;0.465807824;1.7608;9.35;5.5554;0.811679144
31;"Div2";"Leg+";7804.1;53.37277311;10725;6026;3767.1;7058.77;3;7;17;18.57579832;0.352809921;1.274;8.91;5.092;0.85701459
32;"Div3";"Leg+";7845.86;46.21193277;8654;4758;479.37;6944.9;3;6;15;23.38966387;0.292423958;2.1208;8.6;5.3604;0.753395349
33;"Div0";"Leg+";6293.04;57.59764706;12071;7003;1900.31;5374.01;3;6;16;0;0;0;0;0;0
34;"Div1";"Leg+";7405.092738;43.76487395;7606;4083;2172.632738;6729.042738;3;6;16;25.56605042;0.246851085;2.3332;8.39;5.3616;0.721907032
35;"Div2";"Leg+";6516.66;33.93386555;5352;2627;1929.3;5943.8;3;6;15;31.79327731;0.198516699;2.0745;8.73;5.40225;0.762371134
36;"Div3";"Leg+";6606.99;34.34588235;5198;2691;2534.4;4229.24;2;7;16;21.88411765;0.335998095;3.0664;8.69;5.8782;0.647134638
37;"Div0";"Leg+";5463.1;39.61991597;6471;3398;1391.8;4337.75;3;7;15;0;0;0;0;0;0
38;"Div1";"Leg+";6331.69;46.3007563;7863;4191;1134.32;5322.25;3;5;14;25.51672269;0.245378734;3.3638;8.36;5.8619;0.597631579
39;"Div2";"Leg+";6266.86;31.17865546;5660;2599;1592.7;4921.92;3;7;16;33.15915966;0.186811762;2.9178;9.4005;6.15915;0.689612255
40;"Div3";"Leg+";8230.21;42.02327731;7876;3754;1527.33;6979.03;3;4;13;8.656470588;2.363248875;NA;8.7;NA;NA
41;"Div1";"Leg-";5540.69;29.36537815;4929;2148;813.53;3691.06;3;4;17;42.69521008;0.113821698;1.7113;8.25;4.98065;0.792569697
42;"Div2";"Leg+";6177.39;34.45285714;5016;2468;NA;4353.2;3;NA;13;34.53201681;0.176853775;3.3498;8.71;6.0299;0.615407577
