RT;div;leg;jour;id_taxo;stade;FW
2;Div1;Leg-;0;Apo_calig;ad;2.64
2;Div1;Leg-;0;Apo_icter;ad;2.5
2;Div1;Leg-;0;Lum_terre;ad;1.9855
2;Div1;Leg-;43;Apo_calig;ad;1.029
2;Div1;Leg-;43;Apo_icter;juv;1.215
2;Div1;Leg-;43;Lum_terre;ad;0
3;Div2;Leg-;0;Apo_calig;ad;2.52
3;Div2;Leg-;0;Apo_giard;ad;2.755
3;Div2;Leg-;0;Apo_icter;ad;2.38
3;Div2;Leg-;43;Apo_calig;ad;0.8826
3;Div2;Leg-;43;Apo_calig;juv;0.6744
3;Div2;Leg-;43;Apo_giard;juv;2.3848
3;Div2;Leg-;43;Apo_icter;ad;0.7016
4;Div3;Leg-;0;Apo_icter;ad;3.17
4;Div3;Leg-;0;Apo_longa;ad;1.56
4;Div3;Leg-;0;Lum_terre;ad;1.5226
4;Div3;Leg-;43;Apo_icter;ad;0.5103
4;Div3;Leg-;43;Apo_icter;juv;1.4211
4;Div3;Leg-;43;Apo_longa;ad;1.4844
4;Div3;Leg-;43;Lum_terre;ad;1.4205
6;Div1;Leg-;0;Apo_calig;ad;2.51
6;Div1;Leg-;0;Apo_icter;ad;3.19
6;Div1;Leg-;0;Lum_terre;ad;1.8459
6;Div1;Leg-;43;Apo_calig;ad;0.8364
6;Div1;Leg-;43;Apo_calig;juv;0.5649
6;Div1;Leg-;43;Apo_icter;ad;0
6;Div1;Leg-;43;Lum_terre;ad;0
7;Div2;Leg-;0;Apo_calig;ad;2.54
7;Div2;Leg-;0;Apo_giard;ad;2.3788
7;Div2;Leg-;0;Apo_icter;ad;2.44
7;Div2;Leg-;43;Apo_calig;ad;0.4529
7;Div2;Leg-;43;Apo_calig;juv;0.9289
7;Div2;Leg-;43;Apo_giard;ad;1.8622
7;Div2;Leg-;43;Apo_icter;juv;1.4136
8;Div3;Leg-;0;Apo_icter;ad;3.31
8;Div3;Leg-;0;Apo_longa;ad;1.3689
8;Div3;Leg-;0;Lum_terre;ad;2.2184
8;Div3;Leg-;43;Apo_icter;juv;0.4103
8;Div3;Leg-;43;Apo_longa;ad;1.2444
8;Div3;Leg-;43;Lum_terre;ad;0
10;Div1;Leg-;0;Apo_calig;ad;2.52
10;Div1;Leg-;0;Apo_icter;ad;2.38
10;Div1;Leg-;0;Lum_terre;ad;2.5952
10;Div1;Leg-;42;Apo_calig;ad;0.4609
10;Div1;Leg-;42;Apo_calig;juv;0.3944
10;Div1;Leg-;42;Apo_icter;ad;0.5322
10;Div1;Leg-;42;Apo_icter;juv;0.8545
10;Div1;Leg-;42;Lum_terre;ad;0
12;Div1;Leg+;0;Apo_calig;ad;2.43
12;Div1;Leg+;0;Apo_icter;ad;2.52
12;Div1;Leg+;0;Lum_terre;ad;1.3309
12;Div1;Leg+;42;Apo_calig;ad;0.3626
12;Div1;Leg+;42;Apo_calig;juv;0.3126
12;Div1;Leg+;42;Apo_icter;juv;0.5716
12;Div1;Leg+;42;Lum_terre;ad;0
13;Div2;Leg+;0;Apo_calig;ad;2.44
13;Div2;Leg+;0;Apo_giard;ad;2.343
13;Div2;Leg+;0;Apo_icter;ad;2.48
13;Div2;Leg+;43;Apo_calig;ad;0.6336
13;Div2;Leg+;43;Apo_calig;juv;0.9075
13;Div2;Leg+;43;Apo_giard;ad;1.9253
13;Div2;Leg+;43;Apo_icter;juv;1.0272
14;Div3;Leg+;0;Apo_icter;ad;3.33
14;Div3;Leg+;0;Apo_longa;ad;1.7626
14;Div3;Leg+;0;Lum_terre;ad;1.6963
14;Div3;Leg+;43;Apo_icter;juv;2.0342
14;Div3;Leg+;43;Apo_longa;ad;1.0204
14;Div3;Leg+;43;Lum_terre;ad;0
16;Div1;Leg+;0;Apo_calig;ad;2.59
16;Div1;Leg+;0;Apo_icter;ad;2.46
16;Div1;Leg+;0;Lum_terre;ad;1.674
16;Div1;Leg+;43;Apo_calig;ad;1.1139
16;Div1;Leg+;43;Apo_calig;juv;0.8287
16;Div1;Leg+;43;Apo_icter;juv;1.9524
16;Div1;Leg+;43;Lum_terre;ad;0
17;Div2;Leg+;0;Apo_calig;ad;2.4
17;Div2;Leg+;0;Apo_giard;ad;2.1702
17;Div2;Leg+;0;Apo_icter;ad;2.6
17;Div2;Leg+;43;Apo_calig;ad;0.5734
17;Div2;Leg+;43;Apo_calig;juv;0.6563
17;Div2;Leg+;43;Apo_giard;ad;0
17;Div2;Leg+;43;Apo_icter;ad;0
18;Div3;Leg+;0;Apo_icter;ad;3.14
18;Div3;Leg+;0;Apo_longa;ad;1.7101
18;Div3;Leg+;0;Lum_terre;ad;2.3312
18;Div3;Leg+;43;Apo_icter;juv;0.6485
18;Div3;Leg+;43;Apo_longa;ad;0
18;Div3;Leg+;43;Lum_terre;ad;0
20;Div1;Leg+;0;Apo_calig;ad;2.51
20;Div1;Leg+;0;Apo_icter;ad;2.51
20;Div1;Leg+;0;Lum_terre;ad;1.4761
20;Div1;Leg+;44;Apo_calig;ad;1.0072
20;Div1;Leg+;44;Apo_calig;juv;0.4993
20;Div1;Leg+;44;Apo_icter;ad;0.4083
20;Div1;Leg+;44;Apo_icter;juv;1.3535
20;Div1;Leg+;44;Lum_terre;ad;0
21;Div2;Leg-;0;Apo_calig;ad;3.01
21;Div2;Leg-;0;Apo_giard;ad;2.81
21;Div2;Leg-;0;Apo_icter;ad;2.79
21;Div2;Leg-;44;Apo_calig;ad;1.5844
21;Div2;Leg-;44;Apo_calig;juv;0.2332
21;Div2;Leg-;44;Apo_giard;ad;2.7054
21;Div2;Leg-;44;Apo_icter;ad;1.3522
21;Div2;Leg-;44;Apo_icter;juv;0.6281
21;Div2;Leg-;44;Apo_icter;sub;0.5963
22;Div3;Leg-;0;Apo_icter;ad;3.5
22;Div3;Leg-;0;Apo_longa;ad;1.75
22;Div3;Leg-;0;Lum_terre;ad;3.2
22;Div3;Leg-;43;Apo_icter;ad;0.9918
22;Div3;Leg-;43;Apo_icter;juv;0.7677
22;Div3;Leg-;43;Apo_longa;sub;1.4356
22;Div3;Leg-;43;Lum_terre;sub;2.4141
24;Div1;Leg-;0;Apo_calig;ad;3.04
24;Div1;Leg-;0;Apo_icter;ad;2.86
24;Div1;Leg-;0;Lum_terre;ad;2.77
24;Div1;Leg-;43;Apo_calig;ad;0.6588
24;Div1;Leg-;43;Apo_calig;sub;0.3933
24;Div1;Leg-;43;Apo_icter;ad;1.4183
24;Div1;Leg-;43;Lum_terre;ad;0
25;Div2;Leg-;0;Apo_calig;ad;2.89
25;Div2;Leg-;0;Apo_giard;ad;2.93
25;Div2;Leg-;0;Apo_icter;ad;3.01
25;Div2;Leg-;43;Apo_calig;ad;1.2473
25;Div2;Leg-;43;Apo_calig;sub;0.3345
25;Div2;Leg-;43;Apo_giard;ad;0
25;Div2;Leg-;43;Apo_icter;ad;3.0694
26;Div3;Leg-;0;Apo_icter;ad;3.44
26;Div3;Leg-;0;Apo_longa;ad;1.57
26;Div3;Leg-;0;Lum_terre;ad;3.27
26;Div3;Leg-;42;Apo_icter;ad;1.4366
26;Div3;Leg-;42;Apo_icter;sub;1.0696
26;Div3;Leg-;42;Apo_longa;sub;1.3066
26;Div3;Leg-;42;Lum_terre;ad;3.187
28;Div1;Leg-;0;Apo_calig;ad;3.19
28;Div1;Leg-;0;Apo_icter;ad;2.9
28;Div1;Leg-;0;Lum_terre;ad;2.11
28;Div1;Leg-;42;Apo_calig;ad;0.3549
28;Div1;Leg-;42;Apo_calig;sub;0.7825
28;Div1;Leg-;42;Apo_icter;ad;2.7128
28;Div1;Leg-;42;Lum_terre;ad;0
29;Div2;Leg-;0;Apo_calig;ad;2.98
29;Div2;Leg-;0;Apo_giard;ad;3.05
29;Div2;Leg-;0;Apo_icter;ad;2.95
29;Div2;Leg-;42;Apo_calig;ad;1.1346
29;Div2;Leg-;42;Apo_calig;sub;0.6288
29;Div2;Leg-;42;Apo_giard;sub;3.0031
29;Div2;Leg-;42;Apo_icter;ad;1.4326
29;Div2;Leg-;42;Apo_icter;juv;0.5029
30;Div3;Leg-;0;Apo_icter;ad;3.81
30;Div3;Leg-;0;Apo_longa;ad;1.62
30;Div3;Leg-;0;Lum_terre;ad;3.92
30;Div3;Leg-;42;Apo_icter;ad;1.7608
30;Div3;Leg-;42;Apo_icter;sub;0.7988
30;Div3;Leg-;42;Apo_longa;sub;1.4541
30;Div3;Leg-;42;Lum_terre;ad;0
31;Div2;Leg+;0;Apo_calig;ad;3
31;Div2;Leg+;0;Apo_giard;ad;3.08
31;Div2;Leg+;0;Apo_icter;ad;2.83
31;Div2;Leg+;42;Apo_calig;ad;0.3151
31;Div2;Leg+;42;Apo_calig;juv;0.2773
31;Div2;Leg+;42;Apo_calig;sub;0.7251
31;Div2;Leg+;42;Apo_giard;ad;0
31;Div2;Leg+;42;Apo_icter;juv;0.6816
32;Div3;Leg+;0;Apo_icter;ad;4.02
32;Div3;Leg+;0;Apo_longa;ad;1.79
32;Div3;Leg+;0;Lum_terre;ad;2.79
32;Div3;Leg+;42;Apo_icter;ad;2.1208
32;Div3;Leg+;42;Apo_icter;sub;0.6922
32;Div3;Leg+;42;Apo_longa;sub;1.363
32;Div3;Leg+;42;Lum_terre;ad;0
34;Div1;Leg+;0;Apo_calig;ad;2.91
34;Div1;Leg+;0;Apo_icter;ad;2.99
34;Div1;Leg+;0;Lum_terre;ad;2.49
34;Div1;Leg+;42;Apo_calig;ad;0.8412
34;Div1;Leg+;42;Apo_calig;juv;0.3636
34;Div1;Leg+;42;Apo_calig;sub;0.2771
34;Div1;Leg+;42;Apo_icter;ad;0.6211
34;Div1;Leg+;42;Lum_terre;ad;0
34;Div1;Leg+;42;Apo_icter;juv;0.5073
35;Div2;Leg+;0;Apo_calig;ad;2.99
35;Div2;Leg+;0;Apo_giard;ad;2.69
35;Div2;Leg+;0;Apo_icter;ad;3.05
35;Div2;Leg+;42;Apo_calig;ad;0.3097
35;Div2;Leg+;42;Apo_calig;sub;1.2201
35;Div2;Leg+;42;Apo_giard;ad;0
35;Div2;Leg+;42;Apo_icter;ad;1.7648
36;Div3;Leg+;0;Apo_icter;ad;3.8
36;Div3;Leg+;0;Apo_longa;ad;1.77
36;Div3;Leg+;0;Lum_terre;ad;3.12
36;Div3;Leg+;43;Apo_icter;ad;3.0664
36;Div3;Leg+;43;Apo_longa;ad;0
36;Div3;Leg+;43;Lum_terre;sub;3.0935
38;Div1;Leg+;0;Apo_calig;ad;3.36
38;Div1;Leg+;0;Apo_icter;ad;3.18
38;Div1;Leg+;0;Lum_terre;ad;1.82
38;Div1;Leg+;43;Apo_calig;ad;0.6334
38;Div1;Leg+;43;Apo_calig;sub;0.4296
38;Div1;Leg+;43;Apo_icter;ad;2.7304
38;Div1;Leg+;43;Lum_terre;ad;0
39;Div2;Leg+;0;Apo_calig;ad;3.842
39;Div2;Leg+;0;Apo_giard;ad;2.49
39;Div2;Leg+;0;Apo_icter;ad;3.0685
39;Div2;Leg+;44;Apo_calig;ad;0.4821
39;Div2;Leg+;44;Apo_calig;sub;0.9416
39;Div2;Leg+;44;Apo_giard;sub;2.927
39;Div2;Leg+;44;Apo_icter;ad;2.4357
40;Div3;Leg+;0;Apo_icter;ad;3.89
40;Div3;Leg+;0;Apo_longa;ad;2
40;Div3;Leg+;0;Lum_terre;ad;2.81
40;Div3;Leg+;44;Apo_icter;ad;0
40;Div3;Leg+;44;Apo_longa;ad;0
40;Div3;Leg+;44;Lum_terre;sub;2.2626
41;Div1;Leg-;0;Apo_calig;ad;3.27
41;Div1;Leg-;0;Apo_icter;ad;2.86
41;Div1;Leg-;0;Lum_terre;ad;2.12
41;Div1;Leg-;42;Apo_calig;ad;1.1262
41;Div1;Leg-;42;Apo_calig;sub;0.3428
41;Div1;Leg-;42;Apo_icter;juv;0.5851
41;Div1;Leg-;42;Apo_icter;sub;1.6392
41;Div1;Leg-;42;Lum_terre;sub;1.3784
42;Div2;Leg+;0;Apo_calig;ad;2.7
42;Div2;Leg+;0;Apo_giard;ad;2.45
42;Div2;Leg+;0;Apo_icter;ad;3.56
42;Div2;Leg+;42;Apo_calig;sub;0.4983
42;Div2;Leg+;42;Apo_icter;ad;1.833
42;Div2;Leg+;42;Apo_icter;juv;1.5168
42;Div2;Leg+;42;Apo_giard;sub;0
